"x","y","z","top","DateTime","segment","H1.detections","H2.detections","H3.detections","H4.detections"
10.3056443141434,11.75591220833,5.10948749173336,3591.1442114066,2017-12-07 00:59:59,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.1289874121651,11.5073982780661,4.97995709065381,3592.1441293118,2017-12-07 01:00:00,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.0295868824923,11.4023238412668,4.58660209156484,3593.14404722333,2017-12-07 01:00:01,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.1106485691286,11.3564332057136,4.35601734040332,3594.14396516001,2017-12-07 01:00:02,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.65067804078189,11.381742230417,4.04645622479073,3595.143883133,2017-12-07 01:00:03,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.0766973494882,11.61093490773,3.57098512135691,3596.14380113018,2017-12-07 01:00:04,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.0150023871347,11.6667736256872,3.22098236823286,3597.1437191275,2017-12-07 01:00:05,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.229240256622,11.7916220719088,2.81104449631577,3598.14363712297,2017-12-07 01:00:06,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.2290675520135,11.9433224431521,2.43599797258384,3599.14355510983,2017-12-07 01:00:07,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.1082991627734,11.9798312598916,2.26243027563866,3600.14347308257,2017-12-07 01:00:08,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.85513720739572,11.89872505752,2.20256371251203,3601.14339104524,2017-12-07 01:00:09,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.54234178916506,11.8647841370135,2.18199527470735,3602.14330900633,2017-12-07 01:00:10,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.31581859199479,11.8414859348636,2.56804611944395,3603.14322697522,2017-12-07 01:00:11,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
8.89744976423159,11.7301108370485,2.6984790524031,3604.14314497256,2017-12-07 01:00:12,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.01375111764341,11.7757135437592,2.33325539628374,3605.14306301318,2017-12-07 01:00:13,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
8.8107087743264,11.8848378753228,2.15804793721112,3606.14298109615,2017-12-07 01:00:14,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
8.76546532595111,11.9315745090593,1.8489743850634,3607.14289922728,2017-12-07 01:00:15,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.11759360067578,11.7792833311927,1.72142043996557,3608.14281740879,2017-12-07 01:00:16,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
8.97659791400811,11.7069898537173,2.14536809342479,3609.14273564845,2017-12-07 01:00:17,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.06778849281442,11.4862540388745,2.44824387394666,3610.14265397045,2017-12-07 01:00:18,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.34107756165933,11.1029995299333,2.84301782286074,3611.14257239761,2017-12-07 01:00:19,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.3813015131954,10.7711046605874,3.08064571544439,3612.14249095797,2017-12-07 01:00:20,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.33027553936232,10.7029798154049,3.32828654514107,3613.14240967694,2017-12-07 01:00:21,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.2876738169825,10.5007388167416,3.55798938062994,3614.14232858349,2017-12-07 01:00:22,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.36342138297965,10.1594818008668,3.83376243949459,3615.14224771464,2017-12-07 01:00:23,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.17178017598005,9.87865680355611,3.9210914558202,3616.14216710384,2017-12-07 01:00:24,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.48078953383991,9.65133768716424,3.82618623742966,3617.1420867662,2017-12-07 01:00:25,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.58265646912089,9.45426047245579,3.73798522158995,3618.14200668908,2017-12-07 01:00:26,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
9.91240655776166,9.24410922742025,3.70985948966525,3619.14192686411,2017-12-07 01:00:27,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.1566484515689,9.18851950696071,3.80099809750786,3620.1418472628,2017-12-07 01:00:28,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.4802269824307,9.20345380911293,3.91909504668484,3621.14176787735,2017-12-07 01:00:29,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
10.8160613651669,9.34222442050755,3.89617949541083,3622.14168869834,2017-12-07 01:00:30,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
11.0021973288237,9.13986079536916,3.50914043833553,3623.1416097085,2017-12-07 01:00:31,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
11.4576015528045,8.93662423017175,3.26672101254173,3624.14153088825,2017-12-07 01:00:32,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
11.5539740280534,8.85415903717697,3.12223761682508,3625.14145222037,2017-12-07 01:00:33,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
11.6372987636233,8.69523175186352,3.02497362404916,3626.1413736904,2017-12-07 01:00:34,1,0.485294117647059,0.75,0.860294117647059,0.845588235294118
