"x","y","z","top","DateTime","segment"
9.854358377597,10.6260177985198,4.97199862374362,3591.1446980223,2017-12-07 00:59:59,1
9.67690925934544,10.8072660443828,4.8275943250578,3592.14459068042,2017-12-07 01:00:00,1
9.54061895053689,10.9557406452434,4.69890362940674,3593.14448371167,2017-12-07 01:00:01,1
9.57167199568973,11.0255215835239,4.59669090035336,3594.14437743734,2017-12-07 01:00:02,1
9.38931502694084,11.139934409272,4.50996694223143,3595.14427210495,2017-12-07 01:00:03,1
9.5894813450752,11.2664175785447,4.43921572214053,3596.14416780891,2017-12-07 01:00:04,1
9.68655685920828,11.356427077216,4.3761820056717,3597.14406453495,2017-12-07 01:00:05,1
9.84372655611124,11.5021961541889,4.3140055035082,3598.14396224579,2017-12-07 01:00:06,1
9.87282513826573,11.7057780971287,4.25266170682105,3599.14386088179,2017-12-07 01:00:07,1
9.89644780423955,11.8598410398517,4.19694591657492,3600.14376037307,2017-12-07 01:00:08,1
9.95385150251101,11.9866372476493,4.15133464464751,3601.14366065061,2017-12-07 01:00:09,1
9.57378159246874,12.024379676085,4.12220227444402,3602.14356163036,2017-12-07 01:00:10,1
9.27952025826529,11.9563825078891,4.09107509045662,3603.14346329255,2017-12-07 01:00:11,1
9.03554112215165,11.9587763715933,4.06511261516149,3604.14336565269,2017-12-07 01:00:12,1
9.04304145692208,12.1338312916189,4.0347773632362,3605.143268654,2017-12-07 01:00:13,1
8.98702845896621,12.2410261202306,3.99592968619705,3606.14317212507,2017-12-07 01:00:14,1
9.05351201605838,12.5051944127995,3.95792377003607,3607.14307593073,2017-12-07 01:00:15,1
9.12314784059228,12.0652383974585,3.90321649543176,3608.14297987704,2017-12-07 01:00:16,1
9.0603095043775,11.7630824345868,3.83749019278554,3609.14288399697,2017-12-07 01:00:17,1
9.05902901454276,11.473263360861,3.7722303225403,3610.14278837587,2017-12-07 01:00:18,1
9.1257223581636,11.1537201104098,3.71032941824494,3611.1426930799,2017-12-07 01:00:19,1
9.07841946713492,10.8957188803962,3.64371645647688,3612.14259818952,2017-12-07 01:00:20,1
9.16265939637925,10.6700860399119,3.58766247871212,3613.14250376524,2017-12-07 01:00:21,1
9.1989268060396,10.4289440809439,3.52799686761606,3614.14240992321,2017-12-07 01:00:22,1
9.23998317809288,10.1520523557622,3.46718797830729,3615.14231677955,2017-12-07 01:00:23,1
9.16922125156365,9.92534054994533,3.39108552104953,3616.14222441935,2017-12-07 01:00:24,1
9.18231126509382,9.73984477544948,3.29589371167698,3617.14213285832,2017-12-07 01:00:25,1
9.53074217606753,9.47367244370895,3.23644255163098,3618.14204202151,2017-12-07 01:00:26,1
9.88094912901073,9.23792993207026,3.16720805513067,3619.1419519485,2017-12-07 01:00:27,1
10.1803070144658,9.06203665871564,3.10053383277669,3620.14186260766,2017-12-07 01:00:28,1
10.4742879224517,8.90053276859607,3.02781997885593,3621.14177399609,2017-12-07 01:00:29,1
10.9025282280472,8.97386083839939,2.93542604303541,3622.14168609472,2017-12-07 01:00:30,1
11.2811853585843,8.90262472537487,2.82158358027135,3623.14159876202,2017-12-07 01:00:31,1
11.7992387477506,8.81706372473075,2.7112855349355,3624.14151185406,2017-12-07 01:00:32,1
12.3782307677298,8.77457641126928,2.59963417072887,3625.14142522082,2017-12-07 01:00:33,1
12.302590703917,8.69232757660803,2.53652009143007,3626.14133869477,2017-12-07 01:00:34,1
12.6051685262902,8.67254737502864,2.45720471145973,3627.14125225791,2017-12-07 01:00:35,1
13.1239023472937,8.70570695281957,2.38457522541015,3628.14116581306,2017-12-07 01:00:36,1
13.0995409846132,8.76246084046887,2.35318723659502,3629.14107923217,2017-12-07 01:00:37,1
13.1476184724188,8.86674237827935,2.34091754309762,3630.14099251857,2017-12-07 01:00:38,1
13.3494273105925,8.94169859195697,2.32451969029631,3631.1409056748,2017-12-07 01:00:39,1
13.2046987142724,9.01748467512655,2.34361981804729,3632.14081864839,2017-12-07 01:00:40,1
13.432325431422,9.06497825126919,2.35398419286687,3633.14073146621,2017-12-07 01:00:41,1
12.9817518254906,9.085757808005,2.41327097011497,3634.14064407366,2017-12-07 01:00:42,1
12.5316652458961,9.16069298004891,2.48564864990562,3635.14055655842,2017-12-07 01:00:43,1
12.3136862094423,9.15813857408356,2.58196028419179,3636.14046902669,2017-12-07 01:00:44,1
12.2341074315247,9.18798176248646,2.65816958523493,3637.14038159425,2017-12-07 01:00:45,1
12.1859919041318,9.15582282221404,2.72636345730168,3638.14029433,2017-12-07 01:00:46,1
12.1798589504167,9.13459888047882,2.78913228966803,3639.14020730123,2017-12-07 01:00:47,1
12.2276272283702,9.12243395310094,2.83461779400657,3640.14012056113,2017-12-07 01:00:48,1
12.2385323024861,9.06588886750936,2.87719847313678,3641.14003413257,2017-12-07 01:00:49,1
12.3426271872381,9.05563555108217,2.90214439677506,3642.1399480482,2017-12-07 01:00:50,1
12.4792992091497,9.00696856834714,2.93025364414953,3643.13986229711,2017-12-07 01:00:51,1
12.7051656548581,8.98726089500031,2.9527865088197,3644.13977687572,2017-12-07 01:00:52,1
12.987451631661,9.00693332960064,2.97225056139884,3645.13969175615,2017-12-07 01:00:53,1
13.0264189201532,9.09011321868344,3.00006761235714,3646.13960689174,2017-12-07 01:00:54,1
13.0238314816928,9.20530647718428,3.0277085385061,3647.13952226717,2017-12-07 01:00:55,1
13.2018539529249,9.41282901548778,3.02963839640618,3648.13943786685,2017-12-07 01:00:56,1
13.3726104874827,9.46648066147358,3.02650341376693,3649.13935361338,2017-12-07 01:00:57,1
